crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Maize(for grain),0.5,Southern,Zimba,ZIMBA,2024-12-01,12,0.575,100.22216033935548,35.61693572998047,5.979544162750244,,,,2,6.1,14.9,1.11,21.0,55.2,23.9,0.335225,0.3631,0.3052,0.0272760426015211,0.3363,0.3052,0.3529,4,0.0476999999999999
 Sunflower (for grain),5.0,Southern,Zimba,ZIMBA,2024-12-01,12,0.19446,100.22216033935548,35.61693572998047,5.979544162750244,,,,2,6.1,14.9,1.11,21.0,55.2,23.9,0.335225,0.3631,0.3052,0.0272760426015211,0.3363,0.3052,0.3529,4,0.0476999999999999
 Maize(for grain),0.375,Central,Mkushi,CHIBEFWE,2024-11-01,11,1.5333333333333332,63.878150939941406,20.917314529418945,,,,,1,6.0,14.8,1.07,18.7,68.2,13.1,0.5191,0.6357,0.4398,0.1031390808568701,0.4818,0.4398,0.6357,3,0.1959
 Maize(for grain),1.5,Central,Kapiri Mposhi,CHANG'ONDO,2024-11-01,11,1.15,81.01092529296875,24.04169464111328,,,,,1,6.1,15.6,0.92,19.7,59.4,20.9,0.3430333333333333,0.3871,0.3101,0.0396889573223249,0.3319,0.3101,0.3871,3,0.077
 Tobacco (Virginia),1.0,Central,Kapiri Mposhi,CHANG'ONDO,2024-12-01,12,0.9,95.71442413330078,81.01092529296875,24.04169464111328,,,,2,6.1,15.6,0.92,19.7,59.4,20.9,0.356325,0.3962,0.3101,0.0419143869492723,0.3595,0.3101,0.3962,4,0.0861
 Maize(for grain),0.75,Southern,Pemba,MAAMBO,2024-11-01,11,1.5333333333333332,50.39876174926758,14.463791847229004,,,,,1,6.0,15.0,0.93,19.0,62.9,18.1,0.2409333333333333,0.2691,0.2212,0.0250388365011901,0.2325,0.2212,0.2325,3,0.0113
 Soya beans (for grain),0.25,Southern,Pemba,MAAMBO,2024-11-01,11,1.37536,50.39876174926758,14.463791847229004,,,,,1,6.0,15.0,0.93,19.0,62.9,18.1,0.2409333333333333,0.2691,0.2212,0.0250388365011901,0.2325,0.2212,0.2325,3,0.0113
 Sunflower (for grain),0.405,Southern,Pemba,MAAMBO,2024-11-01,11,0.6859259259259258,50.39876174926758,14.463791847229004,,,,,1,6.0,15.0,0.93,19.0,62.9,18.1,0.2409333333333333,0.2691,0.2212,0.0250388365011901,0.2325,0.2212,0.2325,3,0.0113
 Maize(for grain),0.405,Eastern,Chasefu,CHABOLI,2024-12-01,12,1.419753086419753,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Maize(for grain),0.125,Northern,Mporokoso,LUMANGWE,2024-11-01,11,3.68,161.9608917236328,82.63194274902344,,,,,1,5.5,17.9,1.03,26.8,53.1,20.1,0.6148333333333333,0.6701,0.5531,0.0587674513088098,0.6213,0.5531,0.6701,3,0.1169999999999999
